row_num,prospect_full_name,prospect_job_title,prospect_linkedin,prospect_country_name,prospect_company_name,prospect_company_website,prospect_company_linkedin,created_at,business_id,prospect_id
1,Swetabh Pathak,Co-founder & chief technology officer,linkedin.com/in/ACoAAAwuqCEBmJroGGGxKaIPKW8ahgY494iSnUg,united states,Elucidata,elucidata.io,linkedin.com/company/elucidata-corporation,2026-04-19T11:32:12.966Z,28667c0024017830b018a6cd2d037d1c,a6e524d74113508b0a6073b37d2134d5d71d255a
2,Srikant Chellappa,Chief executive officer / co-founder,linkedin.com/in/ACoAAABXSTkB7GTwavusHZnw-5FvjnMAhGUrhkc,united states,Engagedly,engagedly.com,linkedin.com/company/engagedly,2026-04-19T11:32:12.966Z,cbe56d93eea7c4233eb36795cfc0e901,fa2fd77fa094b5a40935f3cd0d8a77f6ee21d807
3,Alex Kroman,Chief product and technology officer,linkedin.com/in/ACoAAAAcDFYBcB61hu36rsvF2VxUaYX06t6W2p0,united states,Assemblyai,assemblyai.com,linkedin.com/company/assemblyai,2026-04-19T11:32:12.966Z,a7171061c233048ace57f519537c5aa9,8a21d27b4112b340c510e400f5321fc2ac10634d
4,Yinglian Xie,Chief executive officer and co-founder,linkedin.com/in/ACoAAAB_3swBPxcl1Q5cTCbxPuO1Xiv7Gy2Gduk,united states,Datavisor,datavisor.com,linkedin.com/company/datavisor,2026-04-19T11:32:12.966Z,0a6f9a84397694e301600b6878a019e1,df1d38e601470ed6e1956e8e9cd2bdaecb78dd65
5,Toni Rosiñol,Co-founder & chief executive officer,linkedin.com/in/ACoAABghAtkB-AFlNv54ofO8sLl6o32ob4ebpwE,united states,Stackai,stack-ai.com,linkedin.com/company/stackai,2026-04-19T11:32:12.966Z,0621d54be6b4b41b10a78297c75130f3,98ba6ec3aecda759d31e6e211dacf11aad635056
6,Rob Macnaughton,President & chief operating officer,linkedin.com/in/ACoAAACICI8BeNcQe1Hbh7K5W0m4rphJTlUAm6A,united states,Skypoint,skypoint.ai,linkedin.com/company/skypoint-ai,2026-04-19T11:32:12.966Z,853afc35b91d2fd4eff888b886fe498a,b5ac6b7dc8a322ee5ddcd78408b3f9e08930dc45
7,Sanjiv Gupta,Founder & chief executive officer,linkedin.com/in/ACoAAAABS6wBUVgnrYy1PEhU7AgMpx5-eQg5FHA,united states,Opsveda,opsveda.com,linkedin.com/company/opsveda,2026-04-19T11:32:12.966Z,d015ada8355df0f133a1995902dd439c,2207f84a4b6cc666505b815026828808996f81de
8,Guillaume Lebedel,Co-founder & chief technology officer,linkedin.com/in/ACoAAArj98IBgfFGwItPJxjFCWW5F2aB2j2rA5E,united kingdom,Stackone,stackone.com,linkedin.com/company/stackonehq,2026-04-19T11:32:12.966Z,56ef49bd9076945ea04f1d24bdb02af6,d5c888e11d9f6ab9dcdc3cf1acda48d7ef42954d
9,Duke Perrucci,Chief executive officer,linkedin.com/in/ACoAAAKnr0sB_22IznQZY24USzCX44Jot4ARY_E,united states,Gurobi optimization,gurobi.com,linkedin.com/company/gurobi-optimization,2026-04-19T11:32:12.966Z,c6a48e6b63dc6d43b4d26f5c4beace04,68112ab44bd4ac8259c1c4bfe6a37bd8316f8549
10,Murali Tirupati,Co-founder & chief executive officer,linkedin.com/in/ACoAAAA_uukBY0Wz_73NhzTLXLIZkcqDrKatmUE,united states,Vaultedge software,vaultedge.com,linkedin.com/company/vaultedge,2026-04-19T11:32:12.966Z,8a68813196e47c70081255b9eedc83ab,6c62b1d4bcf3d4feb443f5857caec70cbafc0a11
